"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9315991709997e-06,2.0167437181399e-05,2.84716760207986e-05,2.96579958549985e-05,3.08443156891984e-05,3.14374756062984e-05,3.32169553575983e-05,3.79622346943981e-05,5.57570322073972e-05,5.75365119586971e-05,0.00762566389423721,0.0173582318140135,0.0423261122045026,0.0802592820629627,0.141726071632364,0.22332648826789,0.312793984883913,0.37731732750613,0.472956653059578,0.552284674052694,0.58802611801747,0.621118509792477,0.637814775139007,0.650126995538251,0.659238525024824,0.668821616645491,0.68080759909033,0.691975020849571,0.701450750525243,0.708438174348681,0.714787951261236,0.720573039932712,0.725838520516808,0.742642147808333,0.762476229116322,0.771466753979806,0.78165605503575,0.789263330972557,0.79655030055413,0.801427854552443,0.804765565405965,0.806796544962115,0.808485271246098,0.810022148591305,0.811457595590686,0.812811779681426,0.814092411942445,0.815230685823359,0.816199909127901,0.817172098232028,0.820468881051269,0.822993369658447,0.824855298638223,0.826138303538911,0.827964642923661,0.829353230289593,0.83047252305316,0.831466065914303,0.832310725636253,0.833029635455778,0.83363465857122,0.834165536697025
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053715308863026,0.00716204118173679,0.113697403760072,0.182632050134288,0.205013428827216,0.229185317815577,0.369740376007162,0.420769919427037,0.470008952551477,0.488809310653536,0.49686660698299,0.502238137869293,0.504923903312444,0.505819158460161,0.505819158460161,0.507609668755595,0.508504923903312,0.511190689346464,0.512085944494181,0.512981199641898,0.512981199641898,0.518352730528201,0.522829006266786,0.528200537153089,0.529991047448523,0.53088630259624,0.53715308863026,0.539838854073411,0.540734109221128,0.541629364368845,0.543419874664279,0.543419874664279,0.545210384959714,0.545210384959714,0.546105640107431,0.547896150402865,0.547896150402865,0.549686660698299,0.551477170993733,0.55237242614145,0.554162936436885,0.554162936436885,0.554162936436885,0.554162936436885,0.555953446732319,0.555953446732319,0.555953446732319,0.555953446732319,0.555953446732319,0.555953446732319,0.555953446732319,0.555953446732319
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19062572993174e-05,0.00583945394617321,0.0194907996158937,0.0446653344060626,0.0933274506241727,0.149905271080429,0.217746749370637,0.284965352573253,0.340556954140822,0.386260413692871,0.417092730528665,0.436323998858062,0.452648516778698,0.460668033531442,0.468090628325245,0.474656769873608,0.480911473878176,0.491396537852638,0.504347149048818,0.516052010069814,0.524434870623654,0.530378137084425,0.536295450416548,0.541122732345384,0.545742389245023,0.55054371804521,0.553372609068023,0.557317484622771,0.560561625703979,0.563105032311645,0.565077470089019,0.5665308452934,0.567698736082635,0.56881472061457,0.569852845760556,0.570787158391944,0.57185123666658,0.572500064882822,0.57340842438556,0.573797721315305,0.574342737016947,0.57493965897589,0.575510627806182,0.576107549765124,0.576315174794321,0.576626612338117,0.576860190495964,0.576964003010563,0.577041862396512,0.57719758116841,0.577275440554359,0.577379253068957,0.577483065583556
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59202182128769e-06,1.83680872851508e-05,2.29601091064385e-05,2.29601091064385e-05,2.75521309277262e-05,2.75521309277262e-05,2.75521309277262e-05,5.969628367674e-05,5.969628367674e-05,0.0108922757600944,0.0229738851719023,0.0544981149750424,0.0971671817384476,0.153603129922073,0.182372146632441,0.239983652402316,0.292415357557779,0.325872828547681,0.354099986683137,0.371985911677052,0.389288649899664,0.400525327296355,0.409658858698897,0.417727041038899,0.426796284135942,0.439180966987955,0.451271760443406,0.465098338147303,0.47539365107063,0.483158759970427,0.489605958607515,0.495460786429657,0.502132994135988,0.50916337954438,0.513227318856219,0.518723968976301,0.523100165771988,0.52667275874895,0.529763189434676,0.532031648214392,0.533524055306311,0.53466287671799,0.53565934545321,0.536614485992037,0.537422681832584,0.538207917564024,0.538823248488077,0.539447763455772,0.540021766183433,0.540650873172949,0.541408556773462,0.542143280264868,0.542625442556103,0.542988212279985,0.543465782549399,0.543787224076889,0.544149993800771,0.544466843306439,0.544659708222934,0.544971965706781,0.545141870514169
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,6.7736909842173e-05,0.000135473819684346,0.0062769536453747,0.0145182776761724,0.0309783467678205,0.0799069746438168,0.151617783196731,0.208336155704577,0.278014856962225,0.306712727765359,0.365801892117682,0.392919235024498,0.410553410553411,0.428187586082323,0.436270857323489,0.442931653457969,0.450156923841134,0.458556300661564,0.470252207094312,0.482806114385062,0.496014811804285,0.505814084761453,0.512181354286617,0.518051886472939,0.522364469732891,0.526767368872632,0.530944478312899,0.533766849556323,0.536837589469168,0.539524486892908,0.54331775384407,0.545507913928967,0.547359389464653,0.548443180022127,0.549572128519497,0.55110749847592,0.552281604913184,0.55352344826029,0.554336291178396,0.55508139718666,0.555555555555556,0.556142608774188,0.556797398902662,0.557203820361715,0.557790873580347,0.558084400189663,0.558513400618664,0.558648874438348,0.55871661134819,0.558852085167875,0.559010137957506,0.559100453837296,0.559190769717085,0.559258506626928
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123932191386713,0.0057982560970212,0.0196521046341787,0.0445270659053689,0.0992785376001416,0.147346523259417,0.209755233922011,0.257823219581286,0.293055371132652,0.340592218828841,0.366131102553888,0.389811003408135,0.402868145000664,0.41357942725623,0.422298942150224,0.433629885362723,0.449475501261453,0.46748993050945,0.485327313769752,0.495728765546851,0.504182711459302,0.511839950427123,0.518346390474926,0.526003629442748,0.534236267870579,0.540654184924534,0.549329438321604,0.556322754835569,0.561766918957199,0.567520913557297,0.571548709777365,0.573629000132785,0.574956845040499,0.576373212942062,0.577701057849776,0.57889611826672,0.579781348205196,0.580312486168282,0.581507546585226,0.582038684548311,0.582569822511397,0.583322267959102,0.583676359934493,0.584030451909884,0.584163236400655,0.584517328376046,0.58491568184836,0.585136989332979,0.58549108130837,0.585579604302217,0.585800911786837,0.585845173283761
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20679355813599e-05,2.93078435547311e-05,4.05137837374224e-05,4.22377745347595e-05,4.22377745347595e-05,4.56857561294338e-05,4.82717423254395e-05,5.25817193187823e-05,6.37876595014736e-05,6.80976364948164e-05,0.00947763940836084,0.0218679612688227,0.0498250580338402,0.103979056959794,0.160723352058747,0.233392150152702,0.310059744901082,0.403365574834562,0.496805014054835,0.555248302084563,0.588673897658734,0.621162504234552,0.635725054499659,0.647605937079508,0.657055130639713,0.667630090190579,0.681843532319224,0.695291522533853,0.707683568385112,0.717291369098672,0.727412057074439,0.735677730952272,0.741781520370244,0.757280197638305,0.774624407054915,0.782769401576934,0.792530637471457,0.800607534356982,0.807204385142992,0.811976391670021,0.815051129257072,0.816920797276784,0.818394809408507,0.819723144317856,0.820745470860677,0.821927266552251,0.822919423256119,0.823869342185451,0.824676169878605,0.825440759797224,0.8279164105822,0.829746426813574,0.831055797824151,0.832039334574032,0.833577134365257,0.834809787785353,0.83584763024535,0.836589808283603,0.837241476804997,0.837772465970577,0.83819742970212,0.838550847815574
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25742071267871e-05,7.25742071267871e-05,7.25742071267871e-05,7.25742071267871e-05,0.000145148414253574,0.000145148414253574,0.000145148414253574,0.000145148414253574,0.000145148414253574,0.00388272008128311,0.0122287539008636,0.0299368604397997,0.05624501052326,0.0831337542637347,0.129290949996371,0.182233834095363,0.224943754989477,0.269830902097395,0.294070687277741,0.308549241599536,0.327273387038247,0.336526598446912,0.343784019159591,0.350424559111692,0.35960519631323,0.371071921039263,0.388961463096016,0.405399521010233,0.416975107046956,0.425284853762973,0.4319979679222,0.437259597938893,0.443464692648233,0.451593003846433,0.456818346759562,0.462733144640395,0.467668190725016,0.471841207634807,0.474780463023441,0.476848827926555,0.478917192829668,0.480767835111401,0.482945061325205,0.484795703606938,0.48599317802453,0.486900355613615,0.48769867189201,0.488460701066841,0.488932433413165,0.489440452863052,0.490129907830757,0.491109659626969,0.491726540387546,0.492016837216053,0.492415995355251,0.492815153494448,0.493032876115828,0.493178024530082,0.493286885840772,0.493540895565716,0.49368604397997
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1787175423878e-06,1.03574350847756e-05,1.03574350847756e-05,2.5893587711939e-05,3.10723052543268e-05,3.10723052543268e-05,3.62510227967146e-05,3.62510227967146e-05,4.66084578814902e-05,5.69658929662658e-05,8.28594806782049e-05,0.00838434370112585,0.019430548219039,0.0516732436379455,0.0967643372795161,0.150933722772893,0.201881945954904,0.26620161783136,0.323374659499322,0.367616443463941,0.417948399258408,0.445944546292556,0.470595241794322,0.482542543164611,0.491496545795399,0.499337124154574,0.508467203181804,0.521061844244891,0.530901407575428,0.541885467482833,0.549430858942092,0.555163699261515,0.561176190328227,0.566406695046039,0.574656392091063,0.583232348341257,0.587919087717118,0.593796932127728,0.598147054863334,0.602134667370972,0.604630809226403,0.606443360366239,0.607686252576412,0.60883074915328,0.609938994707351,0.610990274368455,0.612005303006763,0.612916757294224,0.613786781841345,0.614522159732364,0.61516432070762,0.616091311147707,0.616723114687879,0.61733420335788,0.61791939844017,0.618369946866358,0.61872209965924,0.619032822711784,0.619343545764327,0.619618017794073,0.619845881365939,0.619980528022041,0.620094459807973
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68779154197672e-07,9.68779154197672e-07,9.68779154197672e-07,2.90633746259301e-06,3.87511661679069e-06,6.7814540793837e-06,1.84068039297558e-05,1.93755830839534e-05,0.00554238554116488,0.0130736746858976,0.0402508362986049,0.061075712997238,0.0902243401887376,0.151885195795111,0.229843823112552,0.284488780084226,0.322116162433263,0.351304509570085,0.371799032577137,0.393645971283448,0.405658832795499,0.417408186377609,0.426947754708993,0.437866864555955,0.454441707105123,0.47199017270426,0.488823679287599,0.500696067822291,0.510105819747013,0.518943023191604,0.526260212143259,0.536934220864209,0.54745613125795,0.555418527126301,0.563635711912205,0.571394664158175,0.578482252450285,0.583858007976928,0.587524837075566,0.590257763069557,0.592437516166502,0.594096066078489,0.595427168636356,0.59663039234587,0.597645672899469,0.598672578802918,0.599616169699107,0.600559760595295,0.601688388309936,0.602870298878057,0.603921424260361,0.604712916829341,0.605451126544839,0.605997517987807,0.606462531981822,0.606882982134744,0.607232711409409,0.607519470039051,0.607855636405558,0.608173395968135
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.00395256916996047,0.013561401117623,0.0312457407659806,0.0668870110399346,0.112648221343874,0.155410930898187,0.205022488755622,0.258484394166553,0.28949161782745,0.321827722502385,0.337876516287311,0.354981600109036,0.366260051792286,0.377061469265367,0.386125119258553,0.396858388987325,0.409840534278315,0.42404933896688,0.441392939893689,0.453489164508655,0.462893553223388,0.470866839307619,0.478601608286766,0.48575712143928,0.493696333651356,0.499488891917678,0.507462178001908,0.513493253373313,0.518297669347145,0.523579119531144,0.527429467084639,0.529780564263323,0.531620553359684,0.533153877606651,0.534721275725773,0.535982008995502,0.53652719094998,0.537208668393076,0.537890145836173,0.53850347553496,0.53942347008314,0.540207169142701,0.541161237563037,0.541808641133978,0.542285675344146,0.542762709554314,0.543069374403707,0.543273817636636,0.543410113125256,0.543648630230339,0.543818999591114,0.543955295079733
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45723277006368e-06,7.45723277006368e-06,0.00939611329028024,0.0221554385598592,0.0505152947844114,0.109278289012513,0.159495294486122,0.210614625124909,0.266461841339916,0.323442556935972,0.415009918119584,0.45320586436785,0.474958612358126,0.503743530850572,0.517412638518099,0.528911691449537,0.538867097197572,0.549784485972945,0.562827186087787,0.576891527092127,0.589725424689406,0.598830705901654,0.604818863816015,0.6112246267655,0.616742979015347,0.628555235723128,0.639987173559636,0.644864203791257,0.651724857939716,0.657429641008814,0.662306671240436,0.665886142970067,0.668451431042969,0.670092022252383,0.671628212203016,0.673007800265477,0.674059270086056,0.675133111604946,0.676177124192755,0.677071992125162,0.677787886471088,0.678548524213635,0.679674566361914,0.680793151277424,0.681822249399693,0.68270220286656,0.683552327402348,0.684491938731376,0.685103431818521,0.685617980879655,0.686065414845859,0.686393533087742,0.686863338752256,0.687161628063058
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.56536167681543e-05,1.56536167681543e-05,1.56536167681543e-05,2.08714890242057e-05,3.13072335363086e-05,0.00316724845942322,0.0089695224081524,0.0264963553162291,0.0522882978778914,0.0904413798141394,0.155852626416,0.242031004596945,0.299104091333636,0.367463435760166,0.424786980365147,0.46973894985103,0.50973915856592,0.540597655088208,0.56755318316297,0.588967330901805,0.608189972293098,0.627819607720364,0.649880771618949,0.668665111740734,0.678573851154976,0.687689473986298,0.698699184446566,0.713147472723573,0.74025431909376,0.779268349952256,0.803907142745331,0.832255842712459,0.848895637337007,0.866907732364896,0.879279307483994,0.887580942243372,0.894400701282031,0.899973388851494,0.904121597295055,0.907544521495025,0.91049783719195,0.913085901830951,0.916279239651655,0.919843046402538,0.923813847189393,0.927210682028083,0.929913539856717,0.932840766192362,0.934119144895095,0.935726249549959,0.936947231657875,0.938178649510303,0.939217006089257,0.939947508205104,0.940594524364854,0.941319808608446,0.941904210301123
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41917303419498e-05,0.000162575191025849,0.0263371809461876,0.0422153579363789,0.0800953774454018,0.113314908145017,0.220560342491736,0.251991546090067,0.30932639679185,0.35880344659405,0.403890966238552,0.458191080041186,0.471955779548041,0.494499539370292,0.502194765078849,0.507288787730992,0.512437002113478,0.518940009754511,0.526526852002384,0.538286457486588,0.54836611933019,0.555465236004986,0.562076627106703,0.569013168590473,0.576925161220398,0.586408714030239,0.596271608952474,0.600173413537094,0.60645965425676,0.610307267111039,0.615292906302498,0.618815368774725,0.620495312415325,0.621524955291823,0.622988132011055,0.624342925269604,0.625209992955075,0.626564786213624,0.627323470438411,0.627973771202515,0.62840730504525,0.628895030618328,0.629653714843115,0.630249823876876,0.630737549449954,0.630954316371322,0.631279466753373,0.631875575787135,0.632417493090554,0.63258006828158,0.63285102693329,0.632959410393974,0.633176177315342,0.633284560776026
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,2.15691328453677e-06,4.31382656907353e-06,5.39228321134191e-06,0.00256241298202968,0.0082545071399222,0.0259757066856763,0.0510066853527254,0.0784889959676506,0.121588437219264,0.177420137589498,0.223301996978164,0.264715810497913,0.290362587907697,0.309218323841117,0.32812259032344,0.339425894391055,0.349633486510125,0.358519969242417,0.368576577431569,0.383439866875312,0.399847506230783,0.417615079412155,0.430583520535432,0.441093080514338,0.451189591599254,0.45965979006763,0.469579434263215,0.478886515085991,0.485575103181339,0.493087632151381,0.500162307724661,0.507122666893862,0.5123898491347,0.515882970199008,0.518349400539875,0.520265817993186,0.521699086870761,0.522952253489077,0.52409002524667,0.525025047155517,0.525918009255315,0.526758126979642,0.527630598403237,0.528556992658946,0.529473680804874,0.530329975378835,0.53089832202931,0.531513042315403,0.53199187706457,0.532327277080316,0.532702579991825,0.533006704764945,0.533248279052813,0.533498480993819,0.533654857206948
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27841272276342e-05,1.91761908414513e-05,0.00341975403339214,0.00771522078187722,0.0214325892971287,0.0424560865229731,0.0622650916621922,0.108224029045537,0.167574339699829,0.20714760553297,0.229276929764005,0.248900565058423,0.262630717700903,0.278323233872823,0.286620132443558,0.294405665925187,0.301513640663752,0.310417785277799,0.324020096648002,0.338108204852855,0.354024443251259,0.366463399043747,0.375150213494925,0.383038019994375,0.389481220117103,0.397375418680167,0.40543581089719,0.411354861803585,0.417881158753292,0.424298790621564,0.430307330418552,0.434366290813326,0.437044565467516,0.439070849633096,0.440707217918233,0.442292449694459,0.443558078289995,0.444631944977116,0.445450129119685,0.446376978343689,0.447169594231802,0.448115619646647,0.449119173634016,0.450269745084503,0.451132673672368,0.451707959397612,0.452244892741173,0.452602848303546,0.453031116565672,0.453350719746363,0.453651146736212,0.453913221344379,0.454252000715911,0.45436705786096
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5415208644849e-05,1.5415208644849e-05,1.5415208644849e-05,3.0830417289698e-05,0.00553405990350079,0.0161859690770915,0.031447025635492,0.082286383746204,0.13882936905551,0.183872608715759,0.231258960090025,0.273727859906584,0.311140571287632,0.343990380909806,0.362396140031755,0.381588074794592,0.392841177105332,0.403631823156726,0.414360808373541,0.425536834641057,0.440859552034037,0.459573615328883,0.473108168519061,0.482804334756671,0.4915447580583,0.497895824019978,0.503769018513666,0.509518891338194,0.51554623791833,0.519631268209215,0.524579550184212,0.528402521928134,0.533720768910607,0.537667062323689,0.540796349678593,0.542492022629526,0.543941052242142,0.545374666646113,0.547147415640271,0.548396047540503,0.549259299224615,0.55032294862111,0.551062878636062,0.551540750104053,0.552157358449847,0.552696890752416,0.553251838263631,0.553637218479752,0.553899277026715,0.554099674739098,0.554284657242836,0.554592961415733,0.554685452667602,0.554747113502181,0.55490126558863,0.554993756840499
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32612672542824e-05,3.32612672542824e-05,3.32612672542824e-05,3.32612672542824e-05,6.65225345085648e-05,6.65225345085648e-05,6.65225345085648e-05,6.65225345085648e-05,9.97838017628472e-05,0.00149675702644271,0.00645268584733078,0.0280059870281058,0.0501579910194578,0.070314318975553,0.0843505737568601,0.10936304673208,0.15735905538001,0.169965075669383,0.180608681190753,0.190786628970564,0.197538666223183,0.20209545983702,0.205621154165974,0.209579244969233,0.21483452519541,0.219690670214535,0.22710793281224,0.237053051721271,0.244802926991518,0.253450856477632,0.263063362714119,0.270746715449859,0.274771328787627,0.279594212539498,0.282055546316315,0.284417096291369,0.285614501912523,0.287344087809746,0.288807583568934,0.290337601862631,0.290670214535174,0.291501746216531,0.292333277897888,0.292665890570431,0.292898719441211,0.293264593381008,0.293896557458839,0.294528521536671,0.295160485614502,0.295493098287045,0.295892233494096,0.296058539830368,0.296291368701148,0.296457675037419,0.296690503908199,0.296790287709962,0.296923332778979,0.296989855313487,0.297023116580742,0.29708963911525,0.29708963911525
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55982559979925e-06,1.06263118986324e-05,2.59321005966625e-05,3.64609233953075e-05,3.83132162950691e-05,4.57223878941155e-05,5.11817774934129e-05,6.239302399197e-05,8.72527444887706e-05,9.42719596878672e-05,0.0084879859795076,0.0167160660184486,0.043791616268864,0.0861003258378189,0.126021234880781,0.17567652804659,0.25384270348193,0.322727039196565,0.395759926072066,0.452169751530506,0.485354163764335,0.514481762080386,0.530321596068148,0.543923860232997,0.55540212937642,0.567484051026965,0.583255252688335,0.597467408662706,0.609802217038618,0.619447301145877,0.628002749582576,0.637845834051909,0.646399820152108,0.660102205622645,0.673949752363063,0.682026236851523,0.69114468484065,0.69898787791284,0.705819816550861,0.710392835253072,0.713298790345498,0.715388566692829,0.717221556750794,0.718766271540095,0.720172844274714,0.721453266113949,0.722633956603897,0.723706239214659,0.724660560014436,0.725628626777312,0.726925719252645,0.728209748188579,0.729333017598635,0.730100451793736,0.730911951062032,0.731562105869848,0.732130174855475,0.732604361837814,0.733027659509959,0.733354540462217,0.733672452417276,0.733914030407045
